canonical_id,canonical_name,members
0003a38121b83e8a4d86bae8ae320504127c0f63,,1
0003d9018dabbba699ac4662ebdda44963099745,,1
000a104a12af0242a16281e2b490361aa4e15586,,1
000b847fce7d1d824171bd16565964cafceedcbf,,1
000c1f1370860d449ce2c636412ebb1f462efbe2,,1
000dbea84b1af25c0626efbd07a1e9dc3932e32d,,1
000ddffc1924dca6e66d82ceb2ea6ad6823665bb,,1
000e1a083165339f4497ea7cb67c79f6edd9b81a,,11
000e8e0d33409c5793a67ae71183fa0d10528063,,1
000ebef5824f6024e1f396653355dbc230e6e879,,1
000ee1f5bbb552df427a869b55166a9146a06574,,1
00100e3827ee0856d123493bef67ae9b3f028e35,,1
001189b8ba642e7d3566f1ea4f076caf68b046f7,,1
0013d1b9063b6937bde03a5179d9386d292bac80,,1
0014784d6d225077b4d6937f97fe2a26db1036e5,,1
0019c5cc5c5064a73a4cae0f40ab4df00f03524f,,1
001d8ecc06ef235326047c0019586cbe3e1b8daf,,1
001e10154db93cdf50e63e41ab710730dc2c091d,,1
001f42fa629f8a831aa5042b98e543cf9d42a9cd,,1
001f6fc365b5eb1268ca61f5cbab7bc82f923ea8,,1
002131bf60d31f03306f2c27c25a65a4db46a1b6,,1
0022f5227fb5e4b1f0fcf7fe2b389db1a9035e25,,1
0023f962fbd2251bc135ad197d1bc3b09446a9b5,,1
00247d9d59b5ecab3a7de1057b474e0862b507a2,,1
00256c76da60621d1a392e13c60a3481f885c2a8,,1
0025760423c355788596c958e0efce135b1265a4,,1
002a37af3197c60caaaa39c1fe61ad3fc0fd6e5e,,1
00321cc00ed1a9544fa1591f90485a435ab00400,,1
003409b3755a5d72865488ab63a2ccfec7176396,,1
00347c452b4dbe06f86e1529c576ba6ca1c274bb,,1
0034e8c2b857eddd40cbe1f67f39f47793e7ad59,,1
0034f1e36ad103ed10aa1eb9785b1885e33a9280,,1
00351c37f83551771adfd3e8e62fc32fb5a96a7a,,1
00384a2cbc2b6a7ec6eb6a259243cf1e30bd7aea,,1
003a394b997f19c72ad4062090e41a6e20f1d40f,,1
003e8ca259f00c6d6307c5b7adc5418e750e3fe9,,1
